会社名,タイトル
株式会社ネオキャリア | 【保育Tech事業】メンバー全員20代！未経験入社90％*年休128日～,20代で管理職へ！【自社メディア営業】未経験歓迎*月給30万円～
株式会社テクノスイコー | ◎土日祝休み◎残業手当100％支給 <大阪府緊急雇用対策に賛同>,【CADオペ（設計補助）】★設計など広がるキャリア★転勤なし
株式会社九州エネコ | 《年収例／3年目 880万円／3年目 738万円／6年目 1421万円》,★年休120日以上/完休2日制/転勤なし/社員寮あり★【企画営業】
株式会社テクノスイコー | ◎即入社＆希望勤務地を最大限考慮【大阪府緊急雇用対策に賛同】,【モノづくりエンジニア】★経験を収入に還元★希望案件を最優先
株式会社ティーアイピー | 《大手通信会社と安定取引》有給取得率100％/実質の休日135日↑,5G・スマホ通信の【技術スタッフ】★完全土日休み★社宅あり
株式会社コシダカ | 【上場グループ企業】土日休みOK★月収29.5万円も目指せる！,社員評価90点越えの働きやすさ！【店舗マネージャー】★高卒以上
株式会社コシダカ | 【上場グループ企業】スピード昇格可★土日休みOK★年2回5連休,月30万を目指せる【カラオケ店員(店長候補)】*39歳以下/学歴不問
"株式会社ガリレオコーポレーション | せっかく営業をするなら、目指せ【年収1,000万円】！！",”稼ぎたい”で仕事を選んで、何が悪い？！【営業】
株式会社コシダカ | 【上場グループ企業】月収例29.5万円★月8~10日休★年2回5連休！,まねきねこの【カラオケ店舗社員(店長候補)】*高卒以上/年齢不問
株式会社アーバン・ウェブ | ★テレワーク導入 ★有給消化ほぼ100％ ★残業月20時間以内,【システムエンジニア】★経験者は前職給与保証
日本交通株式会社 | 【業界売上高11年連続NO.1(※)】★会社説明会も随時開催★,【VIP・役員専属運転手】★75％以上が年収500万円以上★土日休可
トマトランド株式会社 | 大手企業と直接取引／賞与年2回+決算賞与有／フルリモート実施,スマートデバイス事業を担う【メーカー営業】月給25万円～
株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,＊全国募集＊【ライセンスアドバイザー】◎未経験歓迎／研修充実
株式会社砂建 | ＜ 年間休日112日+有給 ＞業績好調の注目企業で活躍しませんか？,プラント関連部品の【 製造スタッフ 】未経験歓迎★基本定時退社
住友不動産株式会社 | 【東証一部上場】★転勤なし★東京の平均年収817万円,営業経験者募集！【注文住宅営業】3割が年収800万円以上
株式会社KOKUA HOME | 面接1回／事業好調につき10名以上の増員予定／コロナの影響なし,住宅リフォームの【営業職】★未経験OK ★現在スタッフ全員20代
株式会社FIVE FELLOWS | (ファイブフェローズ)「完全週休2日制」「充実の手当/福利厚生」,賃貸物件を扱う【ルームアドバイザー】未経験でも月給25万円～★
アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み★土日休みも可,【中型(4t)トラックドライバー】面接1回★転勤なし！安定性◎
